Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
1,1694465,Thorne Nature Experience,School-Age Child Care Center,1241 Ceres Drive,Lafayette,CO,80026,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,Boulder Valley School District,,,,True,False,80.0,0.0,0.0,0.0,,,80.0,0.0,0.0,
2,1694743,Thorne Nature Experience Summer Camp Chautauq,School-Age Child Care Center,355 Ponca Place,Boulder,CO,80303,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,Boulder Valley School District,,,,False,False,65.0,0.0,0.0,0.0,,,65.0,0.0,0.0,Thorne Nature Experience
3,1700681,Impact Sports,School-Age Child Care Center,ONE SUPERIOR DR UNIT B,SUPERIOR,CO,80027,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,BOULDER VALLEY SCHOOL DISTRICT,,,,False,False,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
4,1701136,Amanda Vogt,Large Family Child Care Home,,Wellington,CO,80549,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,1.0,,,False,False,8.0,8.0,0.0,0.0,,,0.0,0.0,0.0,
5,1702106,EAST LAKE MONTESSORI,Child Care Center,12585 3rd ST,EastLake,CO,80614,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,1.0,,,False,False,30.0,,,,0.0,30.0,,,,
6,1702648,JCC CAMP SHAI AT GRALAND,School-Age Child Care Center,55 N Clermont ST,Denver,CO,80246,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver Public Schools,,,,False,False,275.0,0.0,0.0,0.0,,,275.0,0.0,0.0,
7,1527476,MESA ELEMENTARY SCHOOL,Preschool Program,9100 Lowell BLVD,Westminster,CO,80030,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,Westminster Public Schools,4.0,2023-07-11,2029-06-30,False,False,20.0,,,,0.0,20.0,,,,
8,1676722,LIGHTWAY AT THE RIDGE,Child Care Center,4340 Harlan ST,Wheat Ridge,CO,80033,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,15.0,0.0,5.0,10.0,,,0.0,0.0,0.0,
9,1679384,Denver Child Care Academy,Child Care Center,3145 W Florida BLVD,Denver,CO,80219,Denver,Denver's Early Childhood Council,Denver's ECC,False,DENVER PUBLIC SCHOOLS,4.0,2024-04-30,2027-04-30,True,True,93.0,0.0,18.0,30.0,0.0,45.0,0.0,0.0,0.0,
10,1696651,TINY HEART ACADEMY,Child Care Center,12755 W Cedar DR,Lakewood,CO,80228,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,2.0,2025-09-10,2028-09-10,True,False,79.0,0.0,21.0,32.0,26.0,0.0,0.0,0.0,0.0,
11,1699440,Kara Glock,Large Family Child Care Home,,Fort Collins,CO,80524,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
12,1704715,KCE Champions LLC at Larkspur PRS,Child Care Center,1103 Perry Park Avenue,Larkspur,CO,80118,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,Douglas County School District,1.0,,,True,False,40.0,,,,40.0,0.0,,,,
13,1704833,Castle Rock Elementary BASE,School-Age Child Care Center,1103 Canyon Drive,Castle Rock,CO,80104,Douglas,Douglas County Early Childhood Council,Child Care Innovations,True,Douglas County School District,,,,True,True,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
14,1705028,Angelita Maddox,Large Family Child Care Home,,Greeley,CO,80634,Weld,Weld County’s Early Childhood Council,Promises for Children,False,District 6,1.0,,,True,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
15,1706384,Shelley Sanchez,Large Family Child Care Home,,Arvada,CO,80005,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
16,1706855,CLEVER KIDS LEARNING CENTER,Child Care Center,BLDG 64 Denver Federal Center,Denver,CO,80225,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,JEFFERSON COUNTY R-1,4.0,2025-07-10,2029-05-01,False,False,122.0,0.0,18.0,40.0,64.0,0.0,0.0,0.0,0.0,
17,1641212,KEYSTONE SCIENCE SCHOOL,School-Age Child Care Center,1053 Soda Ridge RD,Dillon,CO,80435,Summit,Summit County Early Childhood Learning Council,Early Childhood Options,False,,,,,False,False,182.0,0.0,0.0,0.0,,,182.0,0.0,0.0,
18,1702990,JACOB ACADEMY,Child Care Center,1139 S Alkire ST,Lakewood,CO,80228,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County School District,1.0,,,True,True,96.0,0.0,19.0,25.0,52.0,0.0,0.0,0.0,0.0,
19,1703216,Revere Lil' Raiders,Child Care Center,500 Main ST,Ovid,CO,80744,Sedgwick,"Early Childhood Council of Logan, Phillips, and Sedgwick Counties","ECC Logan, Phillips, Sedgewick",False,,1.0,,,False,False,20.0,,,,0.0,20.0,,,,
20,1704758,AMAN STEAM ACADEMY,School-Age Child Care Center,3555 N. Pecos St.,Denver,CO,80211,Denver,Denver's Early Childhood Council,Denver's ECC,False,DENVER COUNTY 1,,,,False,False,41.0,0.0,0.0,0.0,,,41.0,0.0,0.0,"Aman Steam Academy, INC"
21,1701257,Vanessa Clark,Large Family Child Care Home,,Lakewood,CO,80228,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,12.0,,,,0.0,12.0,,,,
22,1700899,LITTLE EINSTEIN'S ACADEMY,Child Care Center,3105 W IOWA AVE,DENVER,CO,80219,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver Public Schools,4.0,2025-06-30,2028-06-30,True,True,75.0,0.0,0.0,22.0,0.0,53.0,0.0,0.0,0.0,
23,1703691,Lacy Fraire,Experienced Family Child Care Home,,Henderson,CO,80640,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,BRIGHTON 27J,2.0,2024-02-28,2027-02-28,True,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
24,1703767,Clubhouse Academy LLC,Child Care Center,1005 W South 1st St,Johnstown,CO,80534,Weld,Weld County’s Early Childhood Council,Promises for Children,False,School District RE-5J (Johnstown and Milliken),2.0,2025-05-07,2028-05-07,True,True,30.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,Michelle E Simon
25,1702638,ELK CREEK PRESCHOOL,Child Care Center,3304 S Highway 285,Pine,CO,80470,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,4.0,2024-01-26,2027-01-31,True,False,40.0,,,,40.0,0.0,,,,
26,11269,FEDERAL HEIGHTS ELEMENTARY PRESCHOOL,Preschool Program,2500 W 96th AVE,Denver,CO,80260,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,NORTHGLENN-THORNTON 12,1.0,,,False,False,32.0,,,,32.0,0.0,,,,
27,1527820,CHAPMAN PAVILLION - DURANGO PARKS & REC,School-Age Child Care Center,500 Florida Rd,Durango,CO,81301,La Plata,Early Childhood Council of La Plata County,ECC La Plata Co,False,,,,,True,True,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,City of Durango
28,1564838,The Club @AnimasValley,School-Age Child Care Center,373 Hermosa Meadows RD,Durango,CO,81301,La Plata,Early Childhood Council of La Plata County,ECC La Plata Co,True,Durango School District 9-R,,,,True,True,30.0,0.0,0.0,0.0,,,30.0,0.0,0.0,
29,1678161,KCE Champions LLC @ Bishop,School-Age Child Care Center,3100 South Elati,Englewood,CO,80110,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,ENGLEWOOD 1,,,,True,True,30.0,0.0,0.0,0.0,,,30.0,0.0,0.0,
30,1699406,BVSD SAC Meadowlark K8,School-Age Child Care Center,2300 MEADOW SWEET LN,ERIE,CO,80516,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,True,BVSD,,,,True,False,60.0,0.0,0.0,0.0,,,60.0,0.0,0.0,
31,1700558,KIPP NORTHEAST ELEMENTARY,Child Care Center,4635 WALDEN ST,DENVER,CO,80249,Denver,Denver's Early Childhood Council,Denver's ECC,False,,4.0,2025-05-31,2028-05-31,False,False,60.0,,,,60.0,0.0,,,,
32,1701858,BVSD Meadowlark PK-8 Preschool,Child Care Center,2300 Meadow Sweet LN,Erie,CO,80516,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,True,BVSD,4.0,2023-01-23,2026-01-31,True,False,40.0,,,,40.0,0.0,,,,
33,1703292,Early Childhood Education Fremont,Preschool Program,5110 El Camino DR,COLORADO SPRINGS,CO,80919,El Paso,Alliance for Kids,Alliance for Kids,True,Colorado Springs School District 11,1.0,,,False,False,32.0,,,,32.0,0.0,,,,
34,1704655,THE LEARNING CENTER PRESCHOOL OF EVERGREEN,Child Care Center,2981 Bergen Peak DR,Evergreen,CO,80439,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,45.0,,,,45.0,0.0,,,,
35,1704770,REUNION ELEMENTARY,School-Age Child Care Center,11021 Landmark DR,Commerce City,CO,80022,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,BRIGHTON 27J,,,,False,False,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
36,1705089,Kelcey Kuntz,Large Family Child Care Home,,Otis,CO,80743,Washington,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",False,Otis R3,2.0,2023-10-19,2026-10-19,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
37,1705639,YMCA OF METRO DENVER @ IOWA,School-Age Child Care Center,16701 E Iowa AVE,Aurora,CO,80017,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,ADAMS-ARAPAHOE 28J,,,,True,True,60.0,0.0,0.0,0.0,,,60.0,0.0,0.0,
38,1705837,FRASSATI CATHOLIC ACADEMY,Child Care Center,3951 Cottonwood Lakes BLVD,Thornton,CO,80241,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,1.0,,,False,False,103.0,,,,0.0,103.0,,,,
39,1705969,City of Broomfield,School-Age Child Care Center,280 Spader WAY,Broomfield,CO,80020,Broomfield,Broomfield Early Childhood Council,Child Care Innovations,False,BOULDER VALLEY RE 2,,,,False,False,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
40,1706943,Aspen Ridge School Inc.,School-Age Child Care Center,705 Austin AVE,Erie,CO,80516,Weld,Weld County’s Early Childhood Council,Promises for Children,False,St. Vrain Valley School District Erie,,,,False,False,104.0,0.0,0.0,0.0,,,104.0,0.0,0.0,
41,1707086,Otero College Child Dev. Svcs. RockyFord A,Child Care Center,101 Meloneer Drive,Rocky Ford,CO,81067,Otero,"Early Childhood Council of Bent, Otero and Crowley Counties",Childrens First,False,R-2,4.0,2024-07-26,2029-05-31,False,False,30.0,,,,0.0,30.0,,,,Otero College
42,1646569,Sarina Dominquez,Family Child Care Home,,Commerce City,CO,80022,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,,1.0,,,True,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
43,1527478,HARRIS PARK ELEMENTARY,Child Care Center,4300 W 75th AVE,Westminster,CO,80030,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,Westminster Public Schools,4.0,2023-07-11,2029-06-30,False,False,40.0,,,,0.0,40.0,,,,
44,1543833,Amber Adams,Family Child Care Home,,Colorado Springs,CO,80923,El Paso,Alliance for Kids,Alliance for Kids,False,,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
45,1698755,AMERICAN ACADEMY KINDIEPREP,Child Care Center,10260 TWENTY MILE RD,PARKER,CO,80134,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,Douglas County School District,1.0,,,False,False,129.0,,,,129.0,0.0,,,,
46,1699750,Heather Belcher,Large Family Child Care Home,,Trinidad,CO,81082,Las Animas,HuLA Early Childhood Council,Childrens First,False,RE-1,2.0,2025-01-30,2028-01-30,True,True,12.0,,,,0.0,12.0,,,,
47,1700273,DPS DISCOVERY LINK @ INSPIRE,School-Age Child Care Center,5677 N Galena Street,Denver,CO,80238,Denver,Denver's Early Childhood Council,Denver's ECC,True,,,,,True,True,135.0,0.0,0.0,0.0,,,135.0,0.0,0.0,
48,1703680,School In The Woods,Child Care Center,4176 E Florida AVE,Denver,CO,80222,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver,2.0,2023-12-01,2026-12-01,False,False,31.0,0.0,0.0,10.0,21.0,0.0,0.0,0.0,0.0,
49,1704815,Our Lady of Loreto,Child Care Center,18000 E Arapahoe RD,Foxfield,CO,80016,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Cherry Creek,1.0,,,False,False,88.0,,,,0.0,88.0,,,,
50,1705113,INNOVATION LEARNING @ AURORA ACADEMY,School-Age Child Care Center,10251 E 1st AVE,Aurora,CO,80010,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,True,ADAMS-ARAPAHOE 28J,,,,True,True,75.0,0.0,0.0,0.0,,,75.0,0.0,0.0,
51,1705532,SHAWSHEEN ELEMENTARY,Preschool Program,4020 W 7th AVE,Greeley,CO,80634,Weld,Weld County’s Early Childhood Council,Promises for Children,True,Greeley District 6,1.0,,,False,False,40.0,,,,40.0,0.0,,,,
52,1705966,RIVERVIEW EARLY CHILDHOOD PROGRAM,Child Care Center,228 Flying M Ranch RD,Glenwood Springs,CO,81601,Garfield,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,False,,4.0,2024-10-31,2027-10-31,True,True,72.0,0.0,8.0,10.0,0.0,54.0,0.0,0.0,0.0,
53,1706026,Leading Edge at Trevista,Preschool Program,4130 Navajo St,Denver,CO,80221,Denver,Denver's Early Childhood Council,Denver's ECC,True,,1.0,,,True,True,40.0,,,,0.0,40.0,,,,
54,1706041,27J PRESCHOOL @ SOUTH,Preschool Program,305 S 5th AVE,Brighton,CO,80601,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,BRIGHTON 27J,1.0,,,False,False,20.0,,,,20.0,0.0,,,,
55,1706809,Metropolitan Arts Academy,Child Care Center,2341 Sherrelwood DR,Denver,CO,80221,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Westminster Public Schools,4.0,2023-07-11,2029-06-30,False,False,20.0,,,,0.0,20.0,,,,
56,1706828,NJS KINDER COTTAGE LLC,Child Care Center,400 Alexander LN,Basalt,CO,81621,Pitkin,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,False,,1.0,,,False,False,30.0,,,,0.0,30.0,,,,
57,1706924,CEDAREDGE ELEMENTARY BELA,Preschool Program,380 N Grand Mesa DR,Cedaredge,CO,81413,Delta,Bright Futures,Bright Futures,True,,4.0,2022-10-31,2025-10-31,True,False,15.0,,,,15.0,0.0,,,,
58,1707887,27J PRESCHOOL @ REUNION,Preschool Program,11021 Landmark DR,Commerce City,CO,80022,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,BRIGHTON 27J,1.0,,,False,False,40.0,,,,40.0,0.0,,,,
59,1708908,ELKHART ELEMENTARY,Preschool Program,1020 Eagle ST,Aurora,CO,80011,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,True,Aurora public schools,4.0,2025-04-04,2028-01-31,True,False,20.0,,,,20.0,0.0,,,,
60,1700077,LITTLE EAGLES CHILD DEVELOPMENT CENTER,Child Care Center,4360 Bradley RD,Colorado Springs,CO,80911,El Paso,Alliance for Kids,Alliance for Kids,False,WFSD 3,2.0,2024-11-22,2027-11-22,True,True,61.0,0.0,0.0,15.0,0.0,46.0,0.0,0.0,0.0,Amie Cinkosky
61,1706031,27J PRESCHOOL @ PENNOCK,Preschool Program,3707 Estrella ST,Brighton,CO,80601,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,True,BRIGHTON 27J,1.0,,,False,False,32.0,,,,32.0,0.0,,,,
62,1706524,Olivia Miller,Family Child Care Home,,Wellington,CO,80549,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
63,1708564,KIDS SMART @ STEIN,School-Age Child Care Center,80 S Teller ST,Lakewood,CO,80226,Jefferson,Triad Early Childhood Council,Child Care Innovations,True,JEFFERSON COUNTY R-1,,,,True,True,30.0,0.0,0.0,0.0,,,30.0,0.0,0.0,
64,1709000,Sewall Child Development Center,Child Care Center,4800 N Telluride Bldg 5,Denver,CO,80249,Denver,Denver's Early Childhood Council,Denver's ECC,False,,4.0,2024-11-15,2029-06-30,True,True,150.0,0.0,8.0,28.0,114.0,0.0,0.0,0.0,0.0,
65,1709822,Sarah Neal,Large Family Child Care Home,,Fort Morgan,CO,80701,Morgan,Morgan County  Partnership for Children and Families,Morgan County Partnership,False,,4.0,2024-08-09,2029-02-28,True,True,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
66,96467,Karen Mendoza,Experienced Family Child Care Home,,Evans,CO,80620,Weld,Weld County’s Early Childhood Council,Promises for Children,False,District 6,1.0,,,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
67,1690975,Sonya Thomas,Large Family Child Care Home,,Wheat Ridge,CO,80033,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,4.0,2022-11-30,2025-11-30,True,True,10.0,10.0,0.0,0.0,,,0.0,0.0,0.0,
68,1705435,Longs Peak Learning Center,Child Care Center,1444 E 3RD AVE,Longmont,CO,80501,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,St. Vrain,2.0,2025-05-27,2028-05-27,False,False,33.0,0.0,9.0,24.0,,,0.0,0.0,0.0,
69,1705439,Southeast Christian Preschool,Child Care Center,9650 Jordan Rd,Parker,CO,80134,Douglas,Douglas County Early Childhood Council,Child Care Innovations,True,Douglas County School District,1.0,,,False,False,141.0,,,,0.0,141.0,,,,
70,1707123,The Learning Experience,Child Care Center,189 S 50th AVE,Brighton,CO,80601,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,BRIGHTON 27J,2.0,2024-07-10,2027-07-10,True,True,185.0,0.0,10.0,34.0,0.0,141.0,0.0,0.0,0.0,
71,1709236,HUNT CENTER CPCD CHILD CARE CENTER,Child Care Center,917 E Moreno AVE,Colorado Springs,CO,80903,El Paso,Alliance for Kids,Alliance for Kids,False,,4.0,2021-04-21,2025-10-31,True,True,58.0,0.0,6.0,12.0,40.0,0.0,0.0,0.0,0.0,
72,1705404,LITTLE SEEDS ACADEMY,Child Care Center,5939 W 64th AVE,Arvada,CO,80003,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,54.0,0.0,10.0,24.0,0.0,20.0,0.0,0.0,0.0,
73,1706722,Stephanie Barclay,Family Child Care Home,,Loveland,CO,80538,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,2.0,2022-12-14,2025-12-14,True,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
74,1687633,Heidi Ruybal,Large Family Child Care Home,,Monte Vista,CO,81144,Rio Grande,Early Childhood Council of the San Luis Valley,ECC SLV,False,Monte Vista School District,2.0,2025-09-22,2028-09-22,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
75,1669526,Sarah Embleton,Infant/Toddler Home,,Littleton,CO,80120,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,LITTLETON 6,5.0,2024-11-30,2027-11-30,True,False,8.0,8.0,0.0,0.0,,,0.0,0.0,0.0,
76,1710681,Life Center Learning Academy,Child Care Center,3939 Redwood LN,Pueblo,CO,81005,Pueblo,Pueblo Early Childhood Council,Childrens First,False,Dist 60,4.0,2025-09-30,2028-09-30,True,True,65.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,0.0,
77,1563418,YMCA @ Jewell,School-Age Child Care Center,14601 E Jewell Ave,Aurora,CO,80012,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,,,,,True,True,60.0,0.0,0.0,0.0,,,60.0,0.0,0.0,YMCA Metro Denver
78,1707670,JillMarie LaCroix,Large Family Child Care Home,,Lafayette,CO,80026,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,BVSD,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
79,1708201,Inas Sawaqed,3 under 18 Months Family Child Care Home,,Westminster,CO,80234,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,ADAMS 12,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
80,1711173,Melanie Trujillo,Family Child Care Home,,Colorado Springs,CO,80923,El Paso,Alliance for Kids,Alliance for Kids,False,,2.0,2025-01-14,2028-01-14,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
81,47603,CROSS BAR X YOUTH RANCH,Resident Camp,2111 County Road 222,Durango,CO,81303,La Plata,Early Childhood Council of La Plata County,ECC La Plata Co,False,,,,,False,False,45.0,0.0,0.0,0.0,,,0.0,0.0,45.0,
82,47605,COLVIG SILVER CAMPS INC,Resident Camp,9665 Florida RD,Durango,CO,81301,La Plata,Early Childhood Council of La Plata County,ECC La Plata Co,False,,,,,False,False,210.0,0.0,0.0,0.0,,,0.0,0.0,210.0,
83,1559468,Kathleen Lopez,Family Child Care Home,,"Ft Collins, CO",CO,80525,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,POUDRE R-1,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
84,1599708,Harmony School  Christian Early Childhood CTR,Child Care Center,2112 E Harmony Road,Fort Collins,CO,80528,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,1.0,,,False,False,113.0,,,,0.0,113.0,,,,
85,1605435,Shining Stars Learning Center,Child Care Center,6650 Omaha Blvd.,Colorado Springs,CO,80915,El Paso,Alliance for Kids,Alliance for Kids,False,,1.0,,,False,False,20.0,,,,20.0,0.0,,,,
86,1615960,Apex Park & Recreation,School-Age Child Care Center,13150 W 72ND AVE,Arvada,CO,80005,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County,,,,False,False,100.0,0.0,0.0,0.0,,,100.0,0.0,0.0,
87,1657494,Katie Kannady,Large Family Child Care Home,,Colorado Springs,CO,80927,El Paso,Alliance for Kids,Alliance for Kids,False,,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
88,1695358,Avid4 Adventure Camp Blue Sky,Resident Camp,201 Evan Ranch RD,Evergreen,CO,80439,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,,,,,False,False,235.0,0.0,0.0,0.0,,,0.0,0.0,235.0,
89,1698048,Meredith Rankin,Family Child Care Home,,Castle Rock,CO,80108,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
90,1700884,BOOK TRAILS,Resident Camp,60355 COUNTY RD 62,STEAMBOAT SPRINGS,CO,80487,Routt,First Impressions of Routt County,Summit Co CCR&R,False,,,,,False,False,32.0,0.0,0.0,0.0,,,0.0,0.0,32.0,
91,1701308,BIRD CONSERVANCY OF THE ROCKIES,Resident Camp,2282 CR 87,Jamestown,CO,80455,Boulder,Early Childhood Council of Boulder County,ECC Boulder Co,False,,,,,False,False,18.0,0.0,0.0,0.0,,,0.0,0.0,18.0,Bird Conservancy of the Rockies
92,1703318,Keystone Science School,Resident Camp,1053 Soda Ridge RD,Dillon,CO,80435,Summit,Summit County Early Childhood Learning Council,Early Childhood Options,False,,,,,False,False,150.0,0.0,0.0,0.0,,,0.0,0.0,150.0,
93,1709092,Kylee Thompson,Large Family Child Care Home,,Castle Rock,CO,80108,Douglas,Douglas County Early Childhood Council,Child Care Innovations,False,Douglas County School District,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
94,8068,Field Elementary SACC Program,School-Age Child Care Center,5402 S Sherman Way,Littleton,CO,80122,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Littleton Public Schools,,,,True,True,60.0,0.0,0.0,0.0,,,60.0,0.0,0.0,Littleton Public Schools
95,12184,LORI HAUBERT,Family Child Care Home,,Arvada,CO,80007,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,JEFFERSON COUNTY R-1,4.0,2024-02-29,2027-02-28,True,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
96,18880,Dr. Justina Ford Elementary -SACC Program,School-Age Child Care Center,7300 S Clermont Dr,Centennial,CO,80122,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,True,Littleton School District 6,,,,True,True,250.0,0.0,0.0,0.0,,,250.0,0.0,0.0,Littleton Public Schools
97,21137,Meeker Elementary Preschool,Preschool Program,2221 28th Ave,Greeley,CO,80634,Weld,Weld County’s Early Childhood Council,Promises for Children,True,GREELEY 6,1.0,,,False,False,40.0,,,,40.0,0.0,,,,Greeley Evans District 6
98,26080,ELISA LUBBERS-LEIALOHA,Large Family Child Care Home,,LA JUNTA,CO,81050,Otero,"Early Childhood Council of Bent, Otero and Crowley Counties",Childrens First,False,R-1,4.0,2025-09-30,2028-09-30,True,True,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
99,29352,Early Childhood Education/Queen Palmer,Preschool Program,1921 E Yampa St,Colorado Springs,CO,80909,El Paso,Alliance for Kids,Alliance for Kids,True,COLORADO SPRINGS 11,1.0,,,False,False,16.0,,,,0.0,16.0,,,,District 11 Early Childhood
100,31045,Betty Weimer,Family Child Care Home,,Grand Junction,CO,81503,Mesa,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,False,MESA COUNTY VALLEY 51,2.0,2024-03-05,2027-03-05,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
101,31792,Anne McGinnis,Large Family Child Care Home,,Wray,CO,80758,Yuma,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",False,WRAY RD-2,1.0,,,True,True,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
102,35008,Ramanda (Mandy) Hardy,Large Family Child Care Home,,Fort Morgan,CO,80701,Morgan,Morgan County  Partnership for Children and Families,Morgan County Partnership,False,FORT MORGAN RE-3,1.0,,,True,True,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
103,37410,Catholic Charities ECC Program @ Quigg,Child Care Center,4440 Navajo Street,Denver,CO,80211,Denver,Denver's Early Childhood Council,Denver's ECC,False,,4.0,2025-05-09,2029-06-30,True,True,56.0,0.0,4.0,20.0,0.0,32.0,0.0,0.0,0.0,
104,38666,YMCA of the Pikes Peak Region @ Oak Creek,School-Age Child Care Center,3333 Oak Creek Dr W,Colorado Springs,CO,80906,El Paso,Alliance for Kids,Alliance for Kids,False,,,,,True,True,50.0,0.0,0.0,0.0,,,50.0,0.0,0.0,
