Unnamed: 0,LICENSE NUMBER,PROVIDER NAME,PROVIDER SERVICE TYPE,STREET ADDRESS,CITY,STATE,ZIP,COUNTY,ECC,CCRR,SCHOOL DISTRICT OPERATED PROGRAM,SCHOOL DISTRICT,QUALITY RATING,QUALITY RATING EFFECTIVE DATE,QUALITY RATING EXPIRATION DATE,CCCAP FISCAL AGREEMENT STATUS,CCCAP AUTHORIZATION STATUS,TOTAL LICENSED CAPACITY,LICENSED HOME CAPACITY,LICENSED CENTER INFANT CAPACITY,LICENSED CENTER TODDLER CAPACITY,LICENSED CENTER PRESCHOOL CAPACITY,LICENSED PRESCHOOL AND SCHOOL AGE CAPACITY,LICENSED SCHOOL AGE CAPACITY,LICENSED NYO CAPACITY,LICENSED RESIDENT CAMP CAPACITY,GOVERNING BODY
2480,97785,AKRON BALANCED CHILD DEVELOPMENT CENTER,Child Care Center,481 Ash AVE,Akron,CO,80720,Washington,"Early Childhood Council of Yuma, Washington, and Kit Carson","ECC Yuma, Washington, Kit Carson",False,AKRON R-1,2.0,2023-03-08,2026-03-08,True,True,82.0,0.0,8.0,24.0,0.0,50.0,0.0,0.0,0.0,
2481,2803,GRAND VALLEY CENTER FOR FAMILY LEARNING,Child Care Center,100 E 2nd St,Parachute,CO,81635,Garfield,Rocky Mountain Early Childhood Council,Mountain Valley Developmental Svcs,False,,5.0,2025-04-30,2028-04-30,True,True,116.0,0.0,10.0,10.0,96.0,0.0,0.0,0.0,0.0,
2482,1520836,KARA APPLEGATE,3 under 18 Months Family Child Care Home,,Morrison,CO,80465,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,Jefferson County Public School,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2483,1598519,Pine Grove Preschool,Preschool Program,10450 Stonegate Pkwy,Parker,CO,80134,Douglas,Douglas County Early Childhood Council,Child Care Innovations,True,Douglas County School District,3.0,2025-02-28,2026-06-01,True,False,20.0,,,,20.0,0.0,,,,
2484,1547407,Shea Dean,Experienced Family Child Care Home,,Frederick,CO,80504,Weld,Weld County’s Early Childhood Council,Promises for Children,False,St Vrain RE-1,2.0,2025-01-29,2028-01-29,True,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2485,1649037,Susan Alguera Norris,Large Family Child Care Home,,Loveland,CO,80537,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,2.0,2023-01-26,2026-01-26,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2486,1523207,Felicia DeGroot,Experienced Family Child Care Home,,La Porte,CO,80535,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,,2.0,2025-05-28,2028-05-28,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2487,1613480,Justine Duggan,Family Child Care Home,,Colorado Springs,CO,80925,El Paso,Alliance for Kids,Alliance for Kids,False,,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2488,1658792,Michelle Carney,Large Family Child Care Home,,Colorado Springs,CO,80925,El Paso,Alliance for Kids,Alliance for Kids,False,D-3,1.0,,,False,False,12.0,12.0,0.0,0.0,,,0.0,0.0,0.0,
2489,1553337,TRINITY LUTHERAN SCHOOL,Child Care Center,3000 35th AVE,Greeley,CO,80634,Weld,Weld County’s Early Childhood Council,Promises for Children,False,"School District 6 (Greeley, Evans)",3.0,2023-12-31,2026-12-31,True,True,64.0,,,,0.0,64.0,,,,
2490,1587176,Venice Roberts,3 under 18 Months Family Child Care Home,,Denver,CO,80207,Denver,Denver's Early Childhood Council,Denver's ECC,False,Denver,1.0,,,False,False,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2491,47278,Dorothy Barnes,Family Child Care Home,,Northglenn,CO,80233,Adams,Early Childhood Partnership of Adams County,Child Care Innovations,False,Adams 12,1.0,,,True,True,6.0,6.0,0.0,0.0,,,0.0,0.0,0.0,
2492,55604,KINDERCARE LEARNING CENTERS LLC,Child Care Center,975 S Kipling PKWY,Lakewood,CO,80226,Jefferson,Triad Early Childhood Council,Child Care Innovations,False,JEFFERSON COUNTY R-1,4.0,2025-06-20,2030-07-01,True,True,99.0,0.0,10.0,29.0,0.0,60.0,0.0,0.0,0.0,
2493,1630722,PRIMROSE SCHOOL @ DTC,Child Care Center,8745 E Orchard RD STE 500,Greenwood Village,CO,80111,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,CHERRY CREEK 5,4.0,2022-04-14,2027-06-30,False,False,240.0,0.0,32.0,68.0,140.0,0.0,0.0,0.0,0.0,
2494,91866,Appleton D51 Preschool,Preschool Program,2358 H RD,Grand Junction,CO,81505,Mesa,Mesa County Partnership for Children & Families,Hilltop/Western Colorado,True,Mesa County Valley School District 51,4.0,2025-04-04,2028-01-01,False,False,15.0,,,,15.0,0.0,,,,
2495,83829,Hope Haberkorn,Experienced Family Child Care Home,,Fort Collins,CO,80525,Larimer,Early Childhood Council of Larimer County,ECC of Larimer County,False,Poudre School District,1.0,,,False,False,9.0,9.0,0.0,0.0,,,0.0,0.0,0.0,
2496,1622875,Angels of God Early Learning Center,Child Care Center,13674 E Alameda AVE,Aurora,CO,80012,Arapahoe,Arapahoe County Early Childhood Council,Child Care Innovations,False,Aurora Public Schools,4.0,2023-09-30,2026-09-30,True,True,86.0,0.0,10.0,15.0,0.0,61.0,0.0,0.0,0.0,Pauline Osuala
