county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated
8014,Broomfield,2025,0-5,4211,1398,0.65,2737,1339,0.4892217756667884,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07
8014,Broomfield,2025,3-5,2106,626,0.7,1474,848,0.5753052917232022,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07
8014,Broomfield,2029,0-2,2180,772,0.6,1308,536,0.40978593272171254,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07
8014,Broomfield,2029,0-5,4361,1398,0.65,2835,1437,0.5068783068783069,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07
8014,Broomfield,2029,3-5,2181,626,0.7,1527,901,0.5900458415193189,Critical,#d32f2f,59,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2025,0-2,460,88,0.6,276,188,0.6811594202898551,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2025,0-5,920,198,0.65,598,400,0.6688963210702341,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2025,3-5,460,110,0.7,322,212,0.6583850931677019,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2029,0-2,476,88,0.6,286,198,0.6923076923076923,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2029,0-5,952,198,0.65,619,421,0.6801292407108239,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8015,Chaffee,2029,3-5,476,110,0.7,333,223,0.6696696696696697,Critical,#d32f2f,18,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2025,0-2,71,22,0.6,43,21,0.4883720930232558,Critical,#d32f2f,6,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2025,0-5,142,85,0.65,92,7,0.07608695652173914,Low,#9ccc65,6,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2025,3-5,71,63,0.7,50,-13,-0.26,Adequate,#66bb6a,6,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2029,0-2,74,22,0.6,44,22,0.5,Critical,#d32f2f,6,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2029,0-5,148,85,0.65,96,11,0.11458333333333333,Moderate,#fbc02d,6,CO Open Data + CO Demography Office,2025-11-07
8017,Cheyenne,2029,3-5,74,63,0.7,52,-11,-0.21153846153846154,Adequate,#66bb6a,6,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2025,0-2,163,39,0.6,98,59,0.6020408163265306,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2025,0-5,325,113,0.65,211,98,0.46445497630331756,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2025,3-5,162,74,0.7,113,39,0.34513274336283184,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2029,0-2,169,39,0.6,101,62,0.6138613861386139,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2029,0-5,337,113,0.65,219,106,0.4840182648401826,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8019,Clear Creek,2029,3-5,168,74,0.7,118,44,0.3728813559322034,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2025,0-2,283,4,0.6,170,166,0.9764705882352941,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2025,0-5,565,99,0.65,367,268,0.7302452316076294,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2025,3-5,282,95,0.7,197,102,0.5177664974619289,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2029,0-2,293,4,0.6,176,172,0.9772727272727273,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2029,0-5,585,99,0.65,380,281,0.7394736842105263,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8021,Conejos,2029,3-5,292,95,0.7,204,109,0.5343137254901961,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2025,0-2,100,22,0.6,60,38,0.6333333333333333,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2025,0-5,199,84,0.65,129,45,0.3488372093023256,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2025,3-5,99,62,0.7,69,7,0.10144927536231885,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2029,0-2,104,22,0.6,62,40,0.6451612903225806,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2029,0-5,207,84,0.65,135,51,0.37777777777777777,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07
8023,Costilla,2029,3-5,103,62,0.7,72,10,0.1388888888888889,Moderate,#fbc02d,3,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2025,0-2,104,18,0.6,62,44,0.7096774193548387,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2025,0-5,208,18,0.65,135,117,0.8666666666666667,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2025,3-5,104,0,0.7,73,73,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2029,0-2,108,18,0.6,65,47,0.7230769230769231,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2029,0-5,216,18,0.65,140,122,0.8714285714285714,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8025,Crowley,2029,3-5,108,0,0.7,76,76,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2025,0-2,48,17,0.6,29,12,0.41379310344827586,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2025,0-5,96,22,0.65,62,40,0.6451612903225806,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2025,3-5,48,5,0.7,34,29,0.8529411764705882,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2029,0-2,50,17,0.6,30,13,0.43333333333333335,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2029,0-5,100,22,0.65,65,43,0.6615384615384615,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8027,Custer,2029,3-5,50,5,0.7,35,30,0.8571428571428571,Critical,#d32f2f,4,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2025,0-2,826,42,0.6,496,454,0.9153225806451613,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2025,0-5,1651,171,0.65,1073,902,0.8406337371854613,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2025,3-5,825,129,0.7,578,449,0.7768166089965398,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2029,0-2,855,42,0.6,513,471,0.9181286549707602,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2029,0-5,1709,171,0.65,1111,940,0.8460846084608461,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8029,Delta,2029,3-5,854,129,0.7,598,469,0.7842809364548495,Critical,#d32f2f,21,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2025,0-2,23712,4984,0.6,14227,9243,0.6496801855626625,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2025,0-5,47424,12782,0.65,30826,18044,0.5853500291961331,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2025,3-5,23712,7798,0.7,16598,8800,0.530184359561393,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2029,0-2,24554,4984,0.6,14732,9748,0.6616888406190605,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2029,0-5,49108,12782,0.65,31920,19138,0.599561403508772,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8031,Denver,2029,3-5,24554,7798,0.7,17188,9390,0.5463113800325808,Critical,#d32f2f,469,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2025,0-2,38,12,0.6,23,11,0.4782608695652174,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2025,0-5,77,12,0.65,50,38,0.76,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2025,3-5,39,0,0.7,27,27,1.0,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2029,0-2,39,12,0.6,23,11,0.4782608695652174,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2029,0-5,79,12,0.65,51,39,0.7647058823529411,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8033,Dolores,2029,3-5,40,0,0.7,28,28,1.0,Critical,#d32f2f,2,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2025,0-2,11809,3301,0.6,7085,3784,0.5340860973888497,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2025,0-5,23618,6631,0.65,15352,8721,0.568069306930693,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2025,3-5,11809,3330,0.7,8266,4936,0.5971449310428261,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2029,0-2,12229,3301,0.6,7337,4036,0.5500885920676025,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2029,0-5,24458,6631,0.65,15898,9267,0.582903509875456,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8035,Douglas,2029,3-5,12229,3330,0.7,8560,5230,0.610981308411215,Critical,#d32f2f,314,CO Open Data + CO Demography Office,2025-11-07
8037,Eagle,2025,0-2,1646,575,0.6,988,413,0.4180161943319838,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
8037,Eagle,2025,0-5,3293,1247,0.65,2140,893,0.41728971962616823,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
8037,Eagle,2025,3-5,1647,672,0.7,1153,481,0.417172593235039,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
8037,Eagle,2029,0-2,1704,575,0.6,1022,447,0.43737769080234834,Critical,#d32f2f,54,CO Open Data + CO Demography Office,2025-11-07
