county_fips,county_name,year,age_group,population,licensed_capacity,participation_rate,need_estimate,gap,gap_pct,severity,color_code,facility_count,data_source,last_updated,median_income,child_poverty_rate,low_income,high_poverty,equity_score,equity_concern
08111,San Juan,2025,3-5,9,0,0.7,6,6,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07,67344,0.0,False,False,5,Minimal Concern
08111,San Juan,2029,0-2,3,25,0.6,2,-23,-11.5,Adequate,#66bb6a,1,CO Open Data + CO Demography Office,2025-11-07,67344,0.0,False,False,5,Minimal Concern
08111,San Juan,2029,0-5,6,25,0.65,4,-21,-5.25,Adequate,#66bb6a,1,CO Open Data + CO Demography Office,2025-11-07,67344,0.0,False,False,5,Minimal Concern
08111,San Juan,2029,3-5,3,0,0.7,2,2,1.0,Critical,#d32f2f,1,CO Open Data + CO Demography Office,2025-11-07,67344,0.0,False,False,5,Minimal Concern
08113,San Miguel,2025,0-2,137,74,0.6,82,8,0.0975609756097561,Low,#9ccc65,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08113,San Miguel,2025,0-5,275,178,0.65,179,1,0.0055865921787709,Adequate,#66bb6a,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08113,San Miguel,2025,3-5,138,104,0.7,97,-7,-0.0721649484536082,Adequate,#66bb6a,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08113,San Miguel,2029,0-2,171,74,0.6,103,29,0.2815533980582524,Significant,#f57c00,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08113,San Miguel,2029,0-5,327,178,0.65,213,35,0.1643192488262911,Moderate,#fbc02d,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08113,San Miguel,2029,3-5,156,104,0.7,109,5,0.0458715596330275,Adequate,#66bb6a,13,CO Open Data + CO Demography Office,2025-11-07,72829,1.3,False,False,0,Minimal Concern
08115,Sedgwick,2025,0-2,114,5,0.6,68,63,0.9264705882352942,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08115,Sedgwick,2025,0-5,228,12,0.65,148,136,0.918918918918919,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08115,Sedgwick,2025,3-5,114,7,0.7,80,73,0.9125,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08115,Sedgwick,2029,0-2,72,5,0.6,43,38,0.8837209302325582,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08115,Sedgwick,2029,0-5,151,12,0.65,98,86,0.8775510204081632,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08115,Sedgwick,2029,3-5,79,7,0.7,55,48,0.8727272727272727,Critical,#d32f2f,3,CO Open Data + CO Demography Office,2025-11-07,45855,8.7,True,False,25,Low Concern
08117,Summit,2025,0-2,616,318,0.6,370,52,0.1405405405405405,Moderate,#fbc02d,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08117,Summit,2025,0-5,1231,528,0.65,800,272,0.34,Critical,#d32f2f,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08117,Summit,2025,3-5,615,210,0.7,430,220,0.5116279069767442,Critical,#d32f2f,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08117,Summit,2029,0-2,788,318,0.6,473,155,0.3276955602536998,Critical,#d32f2f,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08117,Summit,2029,0-5,1574,528,0.65,1023,495,0.4838709677419355,Critical,#d32f2f,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08117,Summit,2029,3-5,786,210,0.7,550,340,0.6181818181818182,Critical,#d32f2f,39,CO Open Data + CO Demography Office,2025-11-07,100611,3.4,False,False,0,Minimal Concern
08119,Teller,2025,0-2,563,109,0.6,338,229,0.6775147928994083,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08119,Teller,2025,0-5,1126,298,0.65,732,434,0.592896174863388,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08119,Teller,2025,3-5,563,189,0.7,394,205,0.5203045685279187,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08119,Teller,2029,0-2,576,109,0.6,346,237,0.684971098265896,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08119,Teller,2029,0-5,1177,298,0.65,765,467,0.6104575163398693,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08119,Teller,2029,3-5,601,189,0.7,421,232,0.5510688836104513,Critical,#d32f2f,28,CO Open Data + CO Demography Office,2025-11-07,69655,5.2,False,False,5,Minimal Concern
08121,Washington,2025,0-2,130,42,0.6,78,36,0.4615384615384615,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,59087,8.5,True,False,15,Low Concern
08121,Washington,2025,0-5,260,56,0.65,169,113,0.6686390532544378,Critical,#d32f2f,9,CO Open Data + CO Demography Office,2025-11-07,59087,8.5,True,False,15,Low Concern
